LDG LGSL,mapping
372,https://www.gov.uk/report-abandoned-vehicle
373,
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,
399,https://www.gov.uk/pedlars-certificate
400,
401,
402,
404,
406,
408,
411,
412,https://www.gov.uk/report-noise-pollution-to-council
413,https://www.gov.uk/check-local-environmental-data
414,
415,https://www.gov.uk/asbestos-in-home
416,
417,
418,https://www.gov.uk/contaminated-land/overview
421,
422,
423,
426,
428,https://www.gov.uk/report-syringes
429,
431,https://www.gov.uk/pest-control
432,https://www.gov.uk/check-council-missing-dog
433,https://www.gov.uk/council-housing/repairs-and-maintenance
434,
435,
436,
437,https://www.gov.uk/local-library-services
438,https://www.gov.uk/join-library
439,https://www.gov.uk/search-library-catalogue
440,https://www.gov.uk/renew-library-item
441,
442,https://www.gov.uk/book-internet-access-at-library
443,https://www.gov.uk/local-library-services
444,https://www.gov.uk/find-mobile-library
445,
446,
448,https://www.gov.uk/search-local-archives
449,
451,
453,
456,https://www.gov.uk/find-your-local-council
461,https://www.gov.uk/find-your-local-park
462,
463,
464,
465,
471,https://www.gov.uk/appeal-parking-fine
472,
473,
474,https://www.gov.uk/parking-permit
475,
477,https://www.gov.uk/apply-dropped-kerb
478,https://www.gov.uk/parking-permit
479,
485,https://www.gov.uk/planning-permission-england-wales
487,
493,https://www.gov.uk/find-local-transport-plans
494,
495,
497,
498,
499,https://www.gov.uk/apply-building-regulation-approval-from-council
505,
508,https://www.gov.uk/apply-work-on-protected-tree
510,https://www.gov.uk/apply-allotment
512,https://www.gov.uk/apply-work-home-conservation-area
513,https://www.gov.uk/street-name-sign
514,https://www.gov.uk/government/policies/conservation-of-historic-buildings-and-monuments
516,https://www.gov.uk/search-register-planning-decisions
517,
518,
519,
521,https://www.gov.uk/apply-skip-permit
522,
524,https://www.gov.uk/rubbish-collection-day
526,https://www.gov.uk/rubbish-collection-day
528,https://www.gov.uk/collection-large-waste-items
530,https://www.gov.uk/garden-waste-disposal
531,
533,https://www.gov.uk/recycling-collections
534,https://www.gov.uk/recycling-collections
535,
536,https://www.gov.uk/find-your-local-council
537,https://www.gov.uk/report-problem-pavement
539,
541,https://www.gov.uk/street-name-sign
546,https://www.gov.uk/safe-walking-cycling-routes-school
547,
549,
550,https://www.gov.uk/report-obstruction-road
555,https://www.gov.uk/report-road-flooding
556,
557,https://www.gov.uk/report-pothole
558,https://www.gov.uk/claim-compensation-injury-road-pavement
559,https://www.gov.uk/report-problem-street-furniture
561,https://www.gov.uk/roads-council-will-grit
562,
564,https://www.gov.uk/report-problem-street-light
566,
567,https://www.gov.uk/report-problem-traffic-light
568,https://www.gov.uk/request-pedestrian-crossing
569,https://www.gov.uk/government/organisations/highways-england
570,https://www.gov.uk/government/organisations/highways-england
571,https://www.gov.uk/request-speed-limit-change
572,
574,
575,
576,https://www.gov.uk/report-dead-animal
577,https://www.gov.uk/report-dog-fouling
579,
580,https://www.gov.uk/local-street-cleaning
581,
582,
583,
584,https://www.gov.uk/report-graffiti
586,https://www.gov.uk/report-vandalism
587,https://www.gov.uk/report-flytipping
588,https://www.gov.uk/report-fly-posters
589,
591,https://www.gov.uk/report-road-spillage
592,
593,
594,
595,
596,
598,
599,
600,https://www.gov.uk/report-dangerous-building-structure
601,
602,
603,https://www.gov.uk/complain-demolition-works
606,
608,
610,https://www.gov.uk/government/publications/personal-searches-of-the-local-land-charges-register-and-other-records-held-by-local-authorities
612,
615,https://www.gov.uk/apply-funding-community-project
616,
617,
620,
622,
623,https://www.gov.uk/browse/housing-local-services
624,
626,
629,
630,https://www.gov.uk/complain-about-school/types
631,https://www.gov.uk/chaperone-child-performers
632,
633,
634,
636,
638,
639,
640,https://www.gov.uk/find-your-local-council
641,https://www.gov.uk/find-your-local-council
642,https://www.gov.uk/find-your-local-council
643,https://www.gov.uk/browse/education
644,https://www.gov.uk/find-your-local-council
645,
646,
647,
648,
649,https://www.gov.uk/common-land-village-greens
650,https://www.gov.uk/private-renting/your-rights-and-responsibilities
651,https://www.gov.uk/options-for-paying-off-your-debts/overview
652,https://www.gov.uk/private-renting
653,
654,https://www.gov.uk/council-housing/repairs-and-maintenance
655,https://www.gov.uk/find-your-local-council
657,https://www.gov.uk/find-your-local-council
658,
659,
660,
661,
662,
663,https://www.gov.uk/order-copy-birth-death-marriage-certificate
664,https://www.gov.uk/report-blocked-drain
665,
666,
668,
669,
670,
671,https://www.gov.uk/funeral-payments
672,
676,
677,
678,
679,
680,
681,
682,
683,
684,https://www.gov.uk/report-derelict-abandoned-building
685,
686,
687,
689,
690,
691,
692,
693,
694,
695,
696,
698,https://www.gov.uk/order-copy-birth-death-marriage-certificate
699,
700,
701,https://www.gov.uk/find-your-local-council
703,https://www.gov.uk/local-planning-emergency-major-incident
705,
706,
707,
708,
709,
710,
711,https://www.gov.uk/council-housing/types-of-tenancy
712,
713,
714,
715,
716,
717,
718,
719,https://www.gov.uk/find-your-local-council
720,
721,https://www.gov.uk/find-your-local-council
722,https://www.gov.uk/make-a-freedom-of-information-request
723,
724,
725,
726,
727,
730,
731,
733,
734,https://www.gov.uk/find-your-local-council
738,
739,
740,
741,
742,
743,
744,
745,
747,
748,
749,
750,
752,
753,
755,
756,
757,
758,
759,
761,
762,
763,
764,
765,
766,
767,
768,
769,
770,
771,
773,
774,
775,
776,
777,
778,
779,
780,
781,
782,
786,
787,https://www.gov.uk/consumer-protection-rights
788,https://www.gov.uk/browse/housing-local-services/noise-neighbours
789,
790,
792,
793,
797,
801,
802,
805,
806,
807,
808,
809,
810,
815,
816,
817,
820,
821,
822,
823,
825,
826,
828,https://www.gov.uk/tendering-for-public-sector-contracts
829,
830,
831,https://www.gov.uk/support-group-for-children-young-people-families
832,
833,
838,
840,https://www.gov.uk/topic/schools-colleges-childrens-services/looked-after-children
842,
843,
844,
845,
846,
847,
848,
849,
850,https://www.gov.uk/hazardous-waste-disposal
851,https://www.gov.uk/browse/housing-local-services/recycling-rubbish
852,https://www.gov.uk/organise-citizenship-ceremony-council
853,
854,
855,
856,
857,
858,
859,https://www.gov.uk/request-clinical-waste-collection
860,https://www.gov.uk/alcohol-licence-your-area
861,
862,
863,
864,
866,
867,https://www.gov.uk/find-local-consultations
868,
869,
870,https://www.gov.uk/contact-council-crime-prevention-community-safety
871,
873,https://www.gov.uk/find-your-local-council
874,
875,
876,https://www.gov.uk/marriages-civil-partnerships/overview
877,
878,
879,
880,
881,
882,
884,
885,
888,
891,
898,
899,
900,
909,
910,
911,
913,
915,
916,
917,
918,
920,
1006,
1011,
1012,
1013,
1036,
1037,
1038,
1045,
1048,
1049,
1051,
1053,
1054,
1055,
1056,
1057,
1059,
1060,
1063,
1067,
1068,
1071,
1077,
1078,
1081,
1082,
1084,
1085,
1086,
1088,
1089,
1090,
1094,
1108,
1109,
1111,
1112,
1113,
1116,https://www.gov.uk/apply-youth-opportunity-funding
1121,
1122,
1123,
1124,
1125,
1126,
1130,
1131,
1132,
1133,
1134,
1135,https://www.gov.uk/subsidised-college-transport-16-19
1137,
1138,
1139,
1140,https://www.gov.uk/check-school-closure
1142,
1144,
1145,https://www.gov.uk/courses-qualifications
1147,
1148,
1149,
1150,
1152,
1154,
1155,
1156,
1157,
1158,
1159,
1160,
1161,
1164,
1165,
1170,
1173,
1176,
1181,
1184,
1185,
1187,
1191,
1192,
1194,
1197,
1201,
1204,
1205,
1207,
1210,
1213,
1215,
1216,
1217,
1222,
1223,
1225,
1228,
1229,
1230,
1231,
1235,
1236,
1237,
1241,
1242,
1245,
1246,
1250,
1251,
1252,
1256,
1260,
1263,
1265,
1270,
1271,
1274,
1275,
1278,
1280,
1281,
1282,
1286,
1287,
1288,
1291,
1293,
1294,
1295,
1296,
1306,
1307,https://www.gov.uk/services-disrupted-severe-weather
1309,
1310,
1311,
1314,
1315,
1316,
1317,
1318,
1319,
1320,
1321,
1322,
1324,
1325,
1326,
1335,
1336,
1343,
1344,
1348,
1351,
1352,
1353,
1354,
1465,https://www.gov.uk/understand-how-your-council-works/spending-and-accounts
1466,
1573,
1574,https://www.gov.uk/find-your-local-council
1579,https://www.gov.uk/find-registered-childminder
1580,https://www.gov.uk/apply-hold-street-party
1584,https://www.gov.uk/find-your-local-council
1589,
1590,
1591,
1592,
1593,
1596,
1741,https://www.gov.uk/find-free-early-education
1742,https://www.gov.uk/find-weighbridge
1743,https://www.gov.uk/help-care-support
7001,
7002,
7003,
7004,
7005,
7006,
7007,
7008,
7009,
7010,
7011,
7012,
7013,
7014,
7015,
7016,
7018,
7019,
7020,
7021,
7022,
7023,
7024,
7025,
7028,
7029,
7030,
7031,
7032,
7033,
7034,
7035,
7036,
7037,
7038,
7039,
7040,
7041,
7042,
7043,
7044,
7045,
7046,
7047,
7048,
7049,
7050,
7051,
7052,
7054,
7055,
7056,
7057,
7058,
7059,
7060,
7061,
7062,
7063,
7064,
9993,
9995,
9996,
9997,
